station,location_est,location_lower,location_upper,location_se,scale_est,scale_lower,scale_upper,scale_se,shape_est,shape_lower,shape_upper,shape_se,nllh,method
USC00010583,968.4734860907329,870.9537020377751,1065.9932701436906,49.75590614020535,368.4512904111763,285.886003388366,451.0165774339865,42.1259205138843,0.30146000427981157,0.07899749814055118,0.5239225104190719,0.11350336429343412,566.808411624758,ismev_car_delta
USC00012813,1093.6876364064597,992.9386753931697,1194.4365974197497,51.403475680157875,383.88611539975284,303.3173949674463,464.45483583205936,41.10724537176312,0.20769940512091672,0.003060367012148596,0.4123384432296848,0.10440959105521061,565.9285021146148,ismev_car_delta
USC00020080,277.67591515964466,247.95787488811615,307.3939554311732,15.162544059962647,117.97608835158,96.58497048434867,139.36720621881133,10.91403619452283,0.05308255672364857,-0.0846317769206936,0.19079689036799072,0.070263706236755,465.4336323311976,ismev_car_delta
USC00020287,308.8628073109612,275.7891796608393,341.93643496108314,16.874609896407534,122.9038416446966,97.27149719724609,148.5361860921471,13.077967069617186,0.09044152319126775,-0.13466390041306264,0.31554694679559814,0.11485181634965404,476.8164880147009,ismev_car_delta
USC00020750,240.0352527464346,218.74552237742262,261.32498311544657,10.86230692856739,79.43205440144325,62.513523375404034,96.35058542748247,8.632062200882483,0.16372547098369766,-0.06565137866995652,0.39310232063735184,0.11703115540027755,447.7482899842396,ismev_car_delta
USC00028162,252.9023470243746,232.13210975433475,273.67258429441443,10.597254558692317,78.89165549783681,62.98529948406381,94.7980115116098,8.115636888861381,0.12083144850495914,-0.07218431874363374,0.313847215753552,0.098479241848869,433.3054598266049,ismev_car_delta
USC00029542,206.20095888384782,185.6208502813529,226.78106748634275,10.500248353963753,74.75129130197972,58.611823819287174,90.89075878467227,8.234573497267608,0.1034142815031216,-0.14985711358375148,0.35668567658999467,0.12922247402740336,440.7927717381495,ismev_car_delta
USC00030006,743.5246645421043,672.3301271555814,814.7192019286273,36.32441103412938,277.3974841480132,216.58212576828404,338.21284252774234,31.028814233033334,0.3443144739045382,0.17278569698679666,0.5158432508222797,0.08751629023325871,532.6557926690281,ismev_car_delta
USC00030130,863.9431492766605,801.4692047563751,926.4170937969459,31.875047201413835,242.09897916824485,196.59320963105728,287.6047487054324,23.217655985585086,-0.01166763280935762,-0.1845870837721068,0.16125181815339157,0.08822583084521747,522.5238135734747,ismev_car_delta
USC00030458,770.6537666100332,720.0374969898546,821.2700362302119,25.825101899541675,195.72647234891116,157.74657105913468,233.70637363868764,19.37785673071399,0.07768025087135313,-0.10318536983516899,0.25854587157787523,0.09228007357949795,510.63637257260785,ismev_car_delta
USC00031102,796.1783447124392,733.2692054427222,859.0874839821562,32.097089418956834,240.85066769026236,193.33261057661048,288.36872480391423,24.244352186299476,0.07893704639455582,-0.11362177046006389,0.2714958632491755,0.09824609960871686,526.0903461764534,ismev_car_delta
USC00031152,777.0490105225446,707.6870108077253,846.4110102373638,35.3894256537048,261.01697334138373,208.51544200565945,313.518504677108,26.78698779663794,0.06064410066787626,-0.14506489578362902,0.26635309711938154,0.10495549820002391,524.1819081975135,ismev_car_delta
USC00033734,750.0673129570673,697.5141962591008,802.6204296550338,26.813307342634253,207.982718898774,170.88647629552,245.07896150202802,18.927002177521853,-0.11096329508606517,-0.25506749526368994,0.03314090509155959,0.07352390212998829,506.86393046660953,ismev_car_delta
USC00035186,770.1209240186781,719.6009007768002,820.640947260556,25.775995702152382,192.74764970127663,154.89726275414972,230.59803664840354,19.31177677022943,0.06945829334136604,-0.12071458894371027,0.25963117562644233,0.09702876368399409,502.3615789475398,ismev_car_delta
USC00041614,212.62459919047353,194.67957839302596,230.5696199879211,9.155791095650537,67.63204329009594,53.9013450957769,81.36274148441498,7.005586991712622,0.10803423812362561,-0.09255350130869361,0.30862197755594484,0.10234256395246534,421.66320636203716,ismev_car_delta
USC00050848,395.3433901347462,358.53339405421673,432.15338621527565,18.780955349629892,143.43663629267812,115.62463056715269,171.24864201820355,14.190059585228598,0.14079464158002697,-0.004456075539669452,0.28604535869972336,0.07410887050242534,469.834875790361,ismev_car_delta
USC00051660,222.7815951230242,206.79895284085893,238.76423740518948,8.154559169573686,62.29679956561827,50.771774025973045,73.8218251052635,5.880223121727318,-0.018730194464465375,-0.18682593802963682,0.14936554910070604,0.08576471041870629,421.8724054053788,ismev_car_delta
USC00051713,182.34363179706236,169.2233441226886,195.46391947143613,6.694147330188175,51.62446412958158,42.12224973440311,61.12667852476005,4.848157655003218,0.02826272138452593,-0.12819169122526664,0.1847171339943185,0.07982514670875845,409.7147228733809,ismev_car_delta
USC00052184,202.59946147207188,187.26705013250574,217.93187281163802,7.822802592550797,60.26497494247341,48.95750234075199,71.57244754419483,5.7692246852050975,0.05802792782060767,-0.0995209590942902,0.21557681473550555,0.08038356222748144,422.38691403683436,ismev_car_delta
USC00052281,192.2032580541682,179.0542699374877,205.3522461708487,6.708790682072758,51.748707491541396,42.34384586194867,61.15356912113412,4.798486963932538,-0.023069211486735953,-0.1780156828349641,0.13187725986149218,0.07905577478485634,407.7998711598772,ismev_car_delta
USC00053005,353.0930031677399,316.3281141214372,389.8578922140426,18.75794113376546,137.44424199142395,108.61695103164055,166.27153295120735,14.708071774363917,0.14350229173803528,-0.07754314744498708,0.36454773092105763,0.11278035766299822,487.2872761329265,ismev_car_delta
USC00053496,217.3718579564866,200.92700156384876,233.81671434912442,8.39038702871724,63.06952659442957,49.67981543811648,76.45923775074266,6.8316108162851075,0.24194922903734586,0.046529425713866784,0.4373690323608249,0.09970581340520826,427.94571263334257,ismev_car_delta
USC00053951,241.58575968559705,220.34436754633956,262.8271518248546,10.837644113262746,81.5031113730837,63.72684121290594,99.27938153326146,9.069692249650869,0.28849815027243203,0.09066967681260452,0.48632662373225954,0.10093474932206578,448.4886962990472,ismev_car_delta
USC00054082,397.41797882355684,366.0575611490005,428.7783964981132,16.000507112336415,123.21063739640847,100.77847723016492,145.64279756265202,11.445189984706643,0.00411107732108862,-0.14437439620563694,0.15259655084781418,0.07575928675116485,466.5932974682659,ismev_car_delta
USC00057936,259.96056231148305,243.35440203403203,276.56672258893406,8.472686441403159,63.8897237994877,51.852905226496546,75.92654237247885,6.141346814500696,0.0031391288163653405,-0.15596817689087786,0.1622464345236085,0.08117868846686029,407.2129536615922,ismev_car_delta
