LATITUDE,LONGITUDE,ELEVATION,loc,scale,shape
59.85,-122.55,-32768,413.579,3.511007,0.13677537
59.85,-122.25,-32768,369.2948,3.3749106,0.13677537
59.85,-121.95,-32768,349.36905,3.3149915,0.13677537
59.85,-121.65,-32768,353.58997,3.3305001,0.13677537
59.85,-121.35,-32768,353.67508,3.3331602,0.13677537
59.85,-121.05,-32768,327.94086,3.2553937,0.13677537
59.85,-120.75,-32768,328.27002,3.259066,0.13677537
59.85,-120.45,-32768,334.04477,3.2797785,0.13677537
59.85,-120.15,-32768,325.7441,3.2566555,0.13677537
59.85,-119.85,-32768,301.1099,3.1827288,0.13677537
59.85,-119.55,-32768,303.7633,3.194001,0.13677537
59.85,-119.25,-32768,322.51346,3.255551,0.13677537
59.85,-118.95,-32768,344.5117,3.3271923,0.13677537
59.85,-118.65,-32768,333.91885,3.2972682,0.13677537
59.85,-118.35,-32768,313.6973,3.2373946,0.13677537
59.85,-118.05,-32768,316.21252,3.2485657,0.13677537
59.85,-117.75,-32768,333.46442,3.3057346,0.13677537
59.85,-117.45,-32768,343.2057,3.3394926,0.13677537
59.85,-117.15,-32768,330.4489,3.303149,0.13677537
59.85,-116.85,-32768,353.9571,3.3799796,0.13677537
59.85,-116.55,-32768,329.50366,3.3072658,0.13677537
59.85,-116.25,-32768,321.63223,3.2864058,0.13677537
59.85,-115.95,-32768,297.01764,3.2134216,0.13677537
59.85,-115.65,-32768,287.117,3.1865115,0.13677537
59.85,-115.35,-32768,286.3897,3.1882699,0.13677537
59.85,-115.05,-32768,254.83875,3.0939898,0.13677537
59.85,-114.75,-32768,227.70969,3.0136657,0.13677537
59.85,-114.45,-32768,197.81778,2.9248955,0.13677537
59.85,-114.15,-32768,215.87212,2.9857516,0.13677537
59.85,-113.85,-32768,220.86072,3.0058026,0.13677537
59.85,-113.55,-32768,217.38911,2.9995747,0.13677537
59.85,-113.25,-32768,207.05435,2.971987,0.13677537
59.85,-112.95,-32768,198.69043,2.9505992,0.13677537
59.85,-112.65,-32768,154.85117,2.8186862,0.13677537
59.85,-112.35,-32768,147.56244,2.8009114,0.13677537
59.85,-112.05,-32768,170.8522,2.8785062,0.13677537
59.85,-111.75,-32768,186.61829,2.9325976,0.13677537
59.85,-111.45,-32768,157.55313,2.8468666,0.13677537
59.85,-111.15,-32768,204.61514,2.9985948,0.13677537
59.85,-110.85,-32768,182.20169,2.9335845,0.13677537
59.85,-110.55,-32768,185.26115,2.948051,0.13677537
59.85,-110.25,-32768,165.72412,2.8920853,0.13677537
59.85,-109.95,-32768,126.118256,2.7736497,0.13677537
59.85,-109.65,-32768,137.49066,2.8142595,0.13677537
59.85,-109.35,-32768,150.00092,2.8583689,0.13677537
59.85,-109.05,-32768,150.16174,2.8639398,0.13677537
59.85,-108.75,-32768,149.1497,2.8658423,0.13677537
59.85,-108.45,-32768,174.59995,2.950231,0.13677537
59.85,-108.15,-32768,188.21289,2.997585,0.13677537
59.85,-107.85,-32768,182.91304,2.9859102,0.13677537
59.85,-107.55,-32768,196.97403,3.0346093,0.13677537
59.85,-107.25,-32768,158.42839,2.9192677,0.13677537
59.85,-106.95,-32768,165.15503,2.9451237,0.13677537
59.85,-106.65,-32768,175.9253,2.9835548,0.13677537
59.85,-106.35,-32768,179.92455,3.000833,0.13677537
59.85,-106.05,-32768,204.59698,3.082472,0.13677537
59.85,-105.75,-32768,181.59988,3.0153887,0.13677537
59.85,-105.45,-32768,206.99323,3.0992458,0.13677537
59.85,-105.15,-32768,221.80983,3.1499338,0.13677537
59.85,-104.85,-32768,237.84131,3.2043905,0.13677537
59.85,-104.55,-32768,240.3554,3.216543,0.13677537
59.85,-104.25,-32768,233.82312,3.2004516,0.13677537
59.85,-103.95,-32768,201.07869,3.102647,0.13677537
59.85,-103.65,-32768,189.68958,3.071539,0.13677537
59.85,-103.35,-32768,205.49423,3.1251926,0.13677537
59.85,-103.05,-32768,206.26025,3.13183,0.13677537
59.85,-102.75,-32768,247.10782,3.2633655,0.13677537
59.85,-102.45,-32768,227.27084,3.205539,0.13677537
59.85,-102.15,-32768,217.47926,3.1791015,0.13677537
59.85,-101.85,-32768,237.10698,3.2443273,0.13677537
59.85,-101.55,-32768,235.15932,3.242173,0.13677537
59.85,-101.25,-32768,210.00708,3.1676362,0.13677537
59.85,-100.95,-32768,197.48358,3.132555,0.13677537
59.85,-100.65,-32768,205.50037,3.1614923,0.13677537
59.85,-100.35,-32768,225.51772,3.2277718,0.13677537
59.85,-100.05,-32768,245.17589,3.2927942,0.13677537
59.85,-99.75,-32768,226.00302,3.2366354,0.13677537
59.85,-99.45,-32768,227.40292,3.2446723,0.13677537
59.85,-99.15,-32768,229.74887,3.255556,0.13677537
59.85,-98.85,-32768,214.93724,3.2129595,0.13677537
59.85,-98.55,-32768,231.13435,3.2670357,0.13677537
59.85,-98.25,-32768,210.85359,3.2073004,0.13677537
59.85,-97.95,-32768,221.91843,3.2452915,0.13677537
59.85,-97.65,-32768,200.53326,3.182063,0.13677537
59.85,-97.35,-32768,196.85104,3.174076,0.13677537
59.85,-97.05,-32768,187.215,3.1474931,0.13677537
59.85,-96.75,-32768,214.09499,3.2347455,0.13677537
59.85,-96.45,-32768,219.69482,3.2555063,0.13677537
59.85,-96.15,-32768,232.6396,3.299117,0.13677537
59.85,-95.85,-32768,237.93814,3.318813,0.13677537
59.85,-95.55,-32768,263.3935,3.4012923,0.13677537
59.85,-95.25,-32768,279.73584,3.4552047,0.13677537
59.85,-94.95,-32768,239.3599,3.332259,0.13677537
59.85,-94.65,-32768,206.5261,3.2329402,0.13677537
59.85,-94.35,-32768,208.53328,3.242326,0.13677537
59.85,-94.05,-32768,225.52155,3.2984405,0.13677537
59.85,-93.75,-32768,200.60153,3.223792,0.13677537
59.85,-93.45,-32768,212.59052,3.264264,0.13677537
59.85,-93.15,-32768,219.55812,3.289018,0.13677537
59.85,-92.85,-32768,146.21173,3.0633469,0.13677537
59.85,-92.55,-32768,102.16229,2.929342,0.13677537
59.85,-92.25,-32768,127.81317,3.0127869,0.13677537
59.85,-91.95,-32768,121.38727,2.9960594,0.13677537
59.85,-91.65,-32768,130.91284,3.0291104,0.13677537
59.85,-91.35,-32768,125.63649,3.015922,0.13677537
59.85,-91.05,-32768,147.7685,3.088223,0.13677537
59.85,-90.75,-32768,110.07703,2.9738986,0.13677537
59.85,-90.45,-32768,114.11966,2.9898229,0.13677537
59.85,-90.15,-32768,82.04367,2.8931198,0.13677537
59.85,-89.85,-32768,72.7305,2.8675125,0.13677537
59.85,-89.55,-32768,56.991226,2.8218822,0.13677537
59.85,-89.25,-32768,56.527847,2.823961,0.13677537
59.85,-88.94999999999999,-32768,46.480804,2.796132,0.13677537
59.85,-88.65,-32768,16.66095,2.7067215,0.13677537
59.85,-88.35,-32768,2.3681488,2.665832,0.13677537
59.85,-88.05,-32768,-37.359436,2.5456614,0.13677537
59.85,-87.75,-32768,-53.610275,2.4989092,0.13677537
59.85,-87.44999999999999,-32768,-38.4785,2.5500011,0.13677537
59.85,-87.15,-32768,-36.674744,2.5594654,0.13677537
59.85,-86.85,-32768,-15.191177,2.630266,0.13677537
59.85,-86.55,-32768,22.610153,2.7518253,0.13677537
59.85,-86.25,-32768,28.333633,2.773199,0.13677537
59.85,-85.94999999999999,-32768,44.22632,2.8262658,0.13677537
59.85,-85.64999999999999,-32768,74.189316,2.9231062,0.13677537
59.85,-85.35,-32768,98.5576,3.0024142,0.13677537
59.85,-85.05,-32768,79.78154,2.9470859,0.13677537
59.85,-84.75,-32768,100.52191,3.0150328,0.13677537
59.85,-84.45,-32768,89.010025,2.9823794,0.13677537
59.85,-84.14999999999999,-32768,80.59711,2.9594467,0.13677537
59.85,-83.85,-32768,52.47119,2.8750837,0.13677537
59.85,-83.55,-32768,75.068054,2.9489782,0.13677537
59.85,-83.25,-32768,59.903214,2.9050958,0.13677537
59.85,-82.95,-32768,34.74362,2.830132,0.13677537
59.85,-82.64999999999999,-32768,42.00653,2.8563473,0.13677537
59.85,-82.35,-32768,78.26984,2.9729514,0.13677537
59.85,-82.05,-32768,63.06575,2.9289525,0.13677537
59.85,-81.75,-32768,78.96715,2.9820564,0.13677537
59.85,-81.45,-32768,65.21196,2.9425972,0.13677537
59.85,-81.14999999999999,-32768,38.25119,2.8621058,0.13677537
59.85,-80.85,-32768,41.337143,2.8753808,0.13677537
59.85,-80.55,-32768,56.280334,2.925624,0.13677537
59.85,-80.25,-32768,59.31819,2.9387534,0.13677537
59.85,-79.95,-32768,74.28946,2.989069,0.13677537
59.85,-79.64999999999999,-32768,49.321808,2.914851,0.13677537
59.85,-79.35,-32768,61.461304,2.9564416,0.13677537
59.85,-79.05,-32768,68.30443,2.9814618,0.13677537
59.85,-78.75,-32768,64.85524,2.9744577,0.13677537
59.85,-78.45,-32768,85.4642,3.042454,0.13677537
59.85,-78.14999999999999,-32768,90.66037,3.0623472,0.13677537
59.85,-77.85,-32768,71.59213,3.0065928,0.13677537
59.85,-77.55,-32768,39.17363,2.9093883,0.13677537
59.85,-77.25,-32768,61.463837,2.9829297,0.13677537
59.85,-76.95,-32768,98.33774,3.1018164,0.13677537
59.85,-76.64999999999999,-32768,85.64398,3.0660706,0.13677537
59.85,-76.35,-32768,81.764175,3.0579233,0.13677537
59.85,-76.05,-32768,145.5477,3.260694,0.13677537
59.85,-75.75,-32768,120.00138,3.1847675,0.13677537
59.85,-75.45,-32768,150.88078,3.2849443,0.13677537
59.85,-75.14999999999999,-32768,164.68262,3.331747,0.13677537
59.85,-74.85,-32768,150.13672,3.2901707,0.13677537
59.85,-74.55,-32768,153.35559,3.3040926,0.13677537
59.85,-74.25,-32768,178.3139,3.3858325,0.13677537
59.85,-73.95,-32768,210.21526,3.4891305,0.13677537
59.85,-73.64999999999999,-32768,209.85037,3.491744,0.13677537
59.85,-73.35,-32768,212.35446,3.5033817,0.13677537
59.85,-73.05,-32768,233.225,3.5722914,0.13677537
59.85,-72.75,-32768,226.66873,3.5556686,0.13677537
59.85,-72.45,-32768,250.3575,3.633437,0.13677537
59.85,-72.14999999999999,-32768,247.52524,3.6284654,0.13677537
59.85,-71.85,-32768,270.44492,3.7038605,0.13677537
59.85,-71.55,-32768,253.49622,3.6549056,0.13677537
59.85,-71.25,-32768,238.97263,3.6137044,0.13677537
59.85,-70.95,-32768,249.03482,3.6492555,0.13677537
59.85,-70.64999999999999,-32768,254.40778,3.670231,0.13677537
59.85,-70.35,-32768,286.1823,3.7735088,0.13677537
59.85,-70.05,-32768,280.05164,3.7585566,0.13677537
59.85,-69.75,-32768,263.3236,3.710703,0.13677537
59.85,-69.45,-32768,266.01816,3.7234683,0.13677537
59.85,-69.14999999999999,-32768,269.06934,3.7374942,0.13677537
59.85,-68.85,-32768,298.953,3.8351476,0.13677537
59.85,-68.55,-32768,269.75403,3.7485993,0.13677537
59.85,-68.25,-32768,260.9722,3.7259154,0.13677537
59.85,-67.95,-32768,212.39445,3.5793033,0.13677537
59.85,-67.64999999999999,-32768,218.60724,3.6037993,0.13677537
59.85,-67.35,-32768,186.63437,3.5093157,0.13677537
59.85,-67.05,-32768,189.82841,3.524707,0.13677537
59.85,-66.75,-32768,185.96638,3.518135,0.13677537
59.85,-66.45,-32768,216.06711,3.6174788,0.13677537
59.85,-66.14999999999999,-32768,196.35254,3.561479,0.13677537
59.85,-65.85,-32768,167.73763,3.4779274,0.13677537
59.85,-65.55,-32768,157.1853,3.4508827,0.13677537
59.85,-65.25,-32768,163.01675,3.4750443,0.13677537
59.85,-64.95,-32768,201.91487,3.6022484,0.13677537
59.85,-64.64999999999999,-32768,229.18655,3.693066,0.13677537
59.85,-64.35,-32768,210.3861,3.6402013,0.13677537
59.85,-64.05,-32768,183.88779,3.5635223,0.13677537
59.85,-63.75,-32768,209.8727,3.6506212,0.13677537
59.85,-63.45,-32768,191.86911,3.6005378,0.13677537
59.85,-63.14999999999999,-32768,207.12831,3.6542642,0.13677537
59.85,-62.85,-32768,213.55586,3.680433,0.13677537
59.85,-62.55,-32768,232.10541,3.7444158,0.13677537
59.85,-62.25,-32768,204.68335,3.6650767,0.13677537
59.85,-61.95,-32768,193.1618,3.6354887,0.13677537
59.85,-61.64999999999999,-32768,166.82207,3.559832,0.13677537
59.85,-61.35,-32768,133.59149,3.462946,0.13677537
59.85,-61.05,-32768,129.13533,3.4559395,0.13677537
59.85,-60.75,-32768,126.217255,3.4538052,0.13677537
59.85,-60.45,-32768,103.14539,3.3889427,0.13677537
59.85,-60.14999999999999,-32768,112.83528,3.426323,0.13677537
59.85,-59.85,-32768,99.63156,3.3923764,0.13677537
59.85,-59.55,-32768,116.15175,3.451158,0.13677537
59.85,-59.25,-32768,115.540115,3.4564776,0.13677537
59.85,-58.95,-32768,116.76647,3.467579,0.13677537
59.85,-58.64999999999999,-32768,107.83199,3.447014,0.13677537
59.85,-58.35,-32768,132.24313,3.530476,0.13677537
59.85,-58.05,-32768,126.31398,3.5192661,0.13677537
59.85,-57.75,-32768,129.52237,3.5365825,0.13677537
59.85,-57.45,-32768,147.28659,3.5992744,0.13677537
59.85,-57.14999999999999,-32768,116.16797,3.5095553,0.13677537
59.85,-56.85,-32768,112.455315,3.5054579,0.13677537
59.85,-56.55,-32768,111.17631,3.5089848,0.13677537
59.85,-56.25,-32768,116.920395,3.534438,0.13677537
59.85,-55.95,-32768,97.104515,3.480206,0.13677537
59.85,-55.64999999999999,-32768,103.405426,3.5075207,0.13677537
59.85,-55.35,-32768,128.65308,3.5938468,0.13677537
59.85,-55.05,-32768,104.23862,3.5252814,0.13677537
